input,all_0,all_1,all_2,all_3,all_4
zenith:0_m:degrees,-0.007477604707262886,-0.007433128473244399,-0.0078114749920780435,-0.008998079215336546,-0.007844247871203691
azimuth:0_m:degrees,-0.0022156197179748205,-0.002385502704859377,-0.0027925826365370887,-0.002706333904149899,-0.002275748068262917
water_sfc_temperature:0_m:K,-0.07733405831734194,-0.07745287962105266,-0.07766969987594177,-0.07827568757592537,-0.07908495194093554
pressure:18.4_m:hPa,-0.012308619567583279,-0.01276024365379394,-0.012463600354571364,-0.012888866591003356,-0.012525180443612727
mixing_ratio:18.4_m:g_kg-1,-0.21286268975260872,-0.21128664728283145,-0.2129231965506357,-0.211008710588429,-0.20959295685469073
relative_humidity:18.4_m:%,-0.02238886726088332,-0.021739994165438842,-0.021242894771829335,-0.021726673377389955,-0.02208829988847824
wave_direction:0_m:degrees,-0.003138034960824071,-0.003433398011352312,-0.0037181519945868324,-0.0036831591266895114,-0.0032501306240536876
wave_height:0_m:m,-0.021043812597398376,-0.02165386342149675,-0.02123356102684623,-0.021895881452963256,-0.02105881805782925
wave_period:0_m:s,-0.011693886275059961,-0.011404243562317451,-0.011151740810763172,-0.011776689751665126,-0.01150219553780557
angle_between_wind_wave:0_m:degrees,-0.004106177848847592,-0.004471383071893348,-0.004169180963844582,-0.004128283732233257,-0.003966416151908708
wind_speed:18.4_m:m_s-1,-0.4976222221788532,-0.4918775227892095,-0.4936969259095466,-0.4905973041672549,-0.49299664682093036
wind_direction:18.4_m:degrees,-0.03475821695163919,-0.03402155975040952,-0.03431185817182522,-0.03455676596116444,-0.03504308636261558
bulk_richardson:18.4_m:none,-0.07936563775349972,-0.07741844932668243,-0.07907633133416583,-0.07847785556282841,-0.075781691913308
