Node,feature,threshold,value,children_left,children_right,impurity
0,14,7.05417431890964508e-03,2.41716762939983065e-01,1,2,2.57721457744190044e-02
1,10,6.53900861740112305e+00,3.11572442569993946e-01,3,4,2.19306145802477120e-02
2,8,1.25781214237213135e+00,1.03499742153510862e-01,49,50,4.61384215116552275e-03
3,9,3.72946500778198242e+00,2.40323923270670370e-01,5,6,7.50109973927035739e-03
4,12,5.74648284912109375e+00,4.64381436672662573e-01,11,12,1.86400565591929579e-02
5,1,6.11278743743896484e+01,1.78100010460532310e-01,29,30,3.70654084486084223e-03
6,5,2.85528366088867188e+02,2.95251367117757790e-01,7,8,4.41587842521119767e-03
7,7,7.42834625244140625e+01,2.78193562021028462e-01,73,74,3.34076787443224332e-03
8,9,4.73980283737182617e+00,3.19803937020161022e-01,9,10,4.94172350973132168e-03
9,9,4.24295854568481445e+00,2.89493293079041147e-01,71,72,3.27614843077571327e-03
10,7,7.42415733337402344e+01,3.54230539859857640e-01,163,164,4.60478775166600629e-03
11,11,1.07490253448486328e+01,4.41081945315521029e-01,13,14,1.59957415845977113e-02
12,14,1.28612673142924905e-03,4.79875566544237131e-01,15,16,1.97974489935244247e-02
13,9,7.41731834411621094e+00,3.96430506115612646e-01,17,18,6.07356928381985739e-03
14,14,7.22319586202502251e-04,5.99891792156443171e-01,37,38,1.89738479348872113e-02
15,14,-7.84695817856118083e-04,4.99839167550334418e-01,19,20,2.05062514191977630e-02
16,14,2.35954020172357559e-03,3.91582023150307046e-01,47,48,7.10420298074782020e-03
17,9,6.52095031738281250e+00,3.71858372717505381e-01,43,44,4.08225535634088033e-03
18,12,7.64360912144184113e-02,4.56630157861506403e-01,123,124,5.84888829915186648e-03
19,9,8.03000020980834961e+00,4.63574967245938996e-01,27,28,1.03792042767309467e-02
20,9,9.33479690551757812e+00,5.21443460514780077e-01,21,22,2.52892027271031661e-02
21,10,8.39112472534179688e+00,4.46710225272866912e-01,25,26,8.99000496259777515e-03
22,11,1.66487026214599609e+01,6.62174984548463574e-01,23,24,2.56598366111391862e-02
23,13,9.05785789489746094e+01,6.39826155117206419e-01,39,40,1.56738191172172692e-02
24,12,7.96291995048522949e+00,1.01725917953445100e+00,137,138,5.02998587329626101e-02
25,5,2.87416030883789062e+02,4.02179112988102438e-01,153,154,5.10971882442401437e-03
26,9,8.57445955276489258e+00,5.01409584752087634e-01,89,90,8.32847352535809327e-03
27,13,7.97251548767089844e+01,4.41195554135297985e-01,129,130,6.82048366384602200e-03
28,0,2.62813320159912109e+01,5.68145342199562697e-01,85,86,1.37325476313308048e-02
29,10,2.88167965412139893e+00,1.98992881928690496e-01,33,34,4.06579660231476403e-03
30,10,2.84353721141815186e+00,1.67829307119164106e-01,31,32,3.20986287652643906e-03
31,9,1.74249589443206787e+00,1.23921036023134312e-01,35,36,1.97715587177762359e-03
32,10,3.47925853729248047e+00,1.95786179515176628e-01,45,46,1.98561614894136179e-03
33,10,2.04113185405731201e+00,1.67248387179484481e-01,91,92,3.10277025177045640e-03
34,8,1.21808725595474243e+00,2.34023002848285172e-01,233,234,2.78937547171866779e-03
35,10,1.09541159868240356e+00,9.38055649600222641e-02,197,198,1.37168395306841613e-03
36,8,1.24517953395843506e+00,1.43902333749869799e-01,337,338,1.37788165770812154e-03
37,8,1.24660468101501465e+00,6.27813091164749815e-01,77,78,2.11184329943754912e-02
38,11,1.23323707580566406e+01,5.47574285007698669e-01,69,70,1.07575394286341663e-02
39,10,1.21500000953674316e+01,6.17160645797425578e-01,41,42,1.46000231836255212e-02
40,4,2.92337844848632812e+02,6.88598446135943787e-01,205,206,1.45002587218268086e-02
41,11,1.24631290435791016e+01,5.71592595526238867e-01,95,96,9.95596185450020599e-03
42,10,1.35149998664855957e+01,6.83307196885520884e-01,121,122,1.39518038955688817e-02
43,13,6.97556152343750000e+01,3.51048738386382453e-01,107,108,3.46715548404864793e-03
44,1,7.10499534606933594e+01,3.94146736693023914e-01,157,158,3.78048026485838795e-03
45,9,2.75991046428680420e+00,1.76636717822770989e-01,119,120,1.54301860526891155e-03
46,4,2.83794998168945312e+02,2.07979266035034388e-01,93,94,1.88527003129361492e-03
47,13,8.90292320251464844e+01,4.12096444566740272e-01,105,106,7.53087775189495434e-03
48,14,3.56537185143679380e-03,3.58082196271280906e-01,223,224,4.59797975679909765e-03
49,10,3.41634666919708252e+00,1.09142270192931157e-01,51,52,4.97576588222091096e-03
50,9,2.75373411178588867e+00,9.53878397510869447e-02,53,54,3.98195290710512580e-03
51,10,2.59779894351959229e+00,6.97821174625624513e-02,57,58,1.91361390999711129e-03
52,11,5.95567250251770020e+00,1.67890050601242929e-01,55,56,3.78261852492243339e-03
53,10,2.53353011608123779e+00,6.17870826108435148e-02,59,60,1.43947821603327905e-03
